Año,Trimestre,Provincia,Total,Banda ancha fija (en miles)
2023,1,NEUQUEN,160412,159.94
2023,1,RIO NEGRO,164331,163.78
2023,1,SALTA,205426,205.42
2023,1,SAN JUAN,101767,101.49
2023,1,SAN LUIS,135463,135.28
2023,1,SANTA CRUZ,50361,50.16
2023,1,SANTA FE,886274,886.16
2023,1,SANTIAGO DEL ESTERO,118555,118.55
2023,1,TIERRA DEL FUEGO,57113,56.8
2023,1,TUCUMAN,261100,261.07
2022,4,BUENOS AIRES,4794665,4788.47
2022,4,CAPITAL FEDERAL,1551926,1549.78
2022,4,CATAMARCA,70909,70.91
2022,4,CHACO,143663,143.66
2022,4,CHUBUT,168759,167.86
2022,4,CORDOBA,1049660,1049.59
2022,4,CORRIENTES,155453,155.45
2022,4,ENTRE RIOS,270974,270.95
2022,4,FORMOSA,61840,61.84
2022,4,JUJUY,118218,118.22
2022,4,LA PAMPA,114164,113.99
2022,4,LA RIOJA,86262,86.26
2022,4,MENDOZA,292104,291.33
2022,4,MISIONES,186269,186.27
2022,4,NEUQUEN,160180,159.71
2022,4,RIO NEGRO,162092,161.54
2022,4,SALTA,205860,205.86
2022,4,SAN JUAN,103826,103.54
2022,4,SAN LUIS,135220,135.03
2022,4,SANTA CRUZ,50203,50.0
2022,4,SANTA FE,887691,887.58
2022,4,SANTIAGO DEL ESTERO,119494,119.49
2022,4,TIERRA DEL FUEGO,55260,54.95
2022,4,TUCUMAN,263422,263.39
2022,3,BUENOS AIRES,4721668,4715.47
2022,3,CAPITAL FEDERAL,1547679,1545.53
2022,3,CATAMARCA,70293,70.29
2022,3,CHACO,144146,144.14
2022,3,CHUBUT,165778,164.87
2022,3,CORDOBA,1038668,1038.6
2022,3,CORRIENTES,144846,144.84
2022,3,ENTRE RIOS,268959,268.94
2022,3,FORMOSA,68538,68.54
2022,3,JUJUY,118823,118.82
2022,3,LA PAMPA,116092,115.92
2022,3,LA RIOJA,86864,86.86
2022,3,MENDOZA,289523,288.75
2022,3,MISIONES,182157,182.16
2022,3,NEUQUEN,163161,162.69
2022,3,RIO NEGRO,160558,160.01
2022,3,SALTA,204541,204.54
2022,3,SAN JUAN,103399,103.12
2022,3,SAN LUIS,122070,121.89
2022,3,SANTA CRUZ,49510,49.31
2022,3,SANTA FE,887810,887.7
2022,3,SANTIAGO DEL ESTERO,119032,119.03
2022,3,TIERRA DEL FUEGO,53896,53.58
2022,3,TUCUMAN,263117,263.09
2022,2,BUENOS AIRES,4667183,4660.98
2022,2,CAPITAL FEDERAL,1536771,1534.63
2022,2,CATAMARCA,67008,67.01
2022,2,CHACO,143564,143.56
2022,2,CHUBUT,162805,161.9
2022,2,CORDOBA,1026435,1026.37
2022,2,CORRIENTES,144997,144.99
2022,2,ENTRE RIOS,269352,269.33
2022,2,FORMOSA,67881,67.88
2022,2,JUJUY,115314,115.31
2022,2,LA PAMPA,111527,111.36
2022,2,LA RIOJA,86030,86.03
2022,2,MENDOZA,279562,278.79
2022,2,MISIONES,178813,178.81
2022,2,NEUQUEN,161968,161.5
2022,2,RIO NEGRO,159764,159.22
2022,2,SALTA,203177,203.17
2022,2,SAN JUAN,100407,100.13
2022,2,SAN LUIS,121741,121.56
2022,2,SANTA CRUZ,49185,48.99
2022,2,SANTA FE,878859,878.75
2022,2,SANTIAGO DEL ESTERO,118044,118.04
2022,2,TIERRA DEL FUEGO,53770,53.46
2022,2,TUCUMAN,254527,254.5
2022,1,BUENOS AIRES,4555424,4549.13
2022,1,CAPITAL FEDERAL,1417541,1415.38
2022,1,CATAMARCA,62378,62.38
2022,1,CHACO,144119,144.11
2022,1,CHUBUT,171628,170.7
2022,1,CORDOBA,1003803,1003.73
2022,1,CORRIENTES,142578,142.57
2022,1,ENTRE RIOS,267926,267.9
2022,1,FORMOSA,54548,54.55
2022,1,JUJUY,116509,116.51
2022,1,LA PAMPA,109732,109.56
2022,1,LA RIOJA,84303,84.3
2022,1,MENDOZA,275185,274.4
2022,1,MISIONES,171508,171.51
2022,1,NEUQUEN,149679,149.21
2022,1,RIO NEGRO,157374,156.82
2022,1,SALTA,197515,197.51
2022,1,SAN JUAN,88178,87.89
2022,1,SAN LUIS,119844,119.66
2022,1,SANTA CRUZ,49102,48.9
2022,1,SANTA FE,870479,870.36
2022,1,SANTIAGO DEL ESTERO,116461,116.46
2022,1,TIERRA DEL FUEGO,52611,52.3
2022,1,TUCUMAN,245584,245.55
2021,4,BUENOS AIRES,4509157,4502.77
2021,4,CAPITAL FEDERAL,1412119,1409.94
2021,4,CATAMARCA,59090,59.09
2021,4,CHACO,143745,143.74
2021,4,CHUBUT,160308,159.36
2021,4,CORDOBA,986770,986.69
2021,4,CORRIENTES,135912,135.91
2021,4,ENTRE RIOS,265046,265.02
2021,4,FORMOSA,53663,53.66
2021,4,JUJUY,113915,113.92
2021,4,LA PAMPA,107007,106.83
2021,4,LA RIOJA,83128,83.12
2021,4,MENDOZA,267587,266.78
2021,4,MISIONES,171132,171.13
2021,4,NEUQUEN,147466,146.99
2021,4,RIO NEGRO,153753,153.19
2021,4,SALTA,199405,199.4
2021,4,SAN JUAN,79958,79.67
2021,4,SAN LUIS,118849,118.66
2021,4,SANTA CRUZ,48486,48.28
2021,4,SANTA FE,866441,866.26
2021,4,SANTIAGO DEL ESTERO,115861,115.86
2021,4,TIERRA DEL FUEGO,52357,52.04
2021,4,TUCUMAN,238639,238.61
2021,3,BUENOS AIRES,4251609,4246.42
2021,3,CAPITAL FEDERAL,1413405,1411.8
2021,3,CATAMARCA,56254,56.25
2021,3,CHACO,139871,139.87
2021,3,CHUBUT,156066,155.27
2021,3,CORDOBA,946788,946.73
2021,3,CORRIENTES,133819,133.82
2021,3,ENTRE RIOS,260375,260.36
2021,3,FORMOSA,52795,52.8
2021,3,JUJUY,111158,111.16
2021,3,LA PAMPA,100487,100.37
2021,3,LA RIOJA,82160,82.16
2021,3,MENDOZA,255939,255.32
2021,3,MISIONES,158528,158.53
2021,3,NEUQUEN,139809,139.44
2021,3,RIO NEGRO,144585,144.08
2021,3,SALTA,195833,195.83
2021,3,SAN JUAN,79483,79.23
2021,3,SAN LUIS,117864,117.72
2021,3,SANTA CRUZ,48976,48.78
2021,3,SANTA FE,841584,841.43
2021,3,SANTIAGO DEL ESTERO,115458,115.46
2021,3,TIERRA DEL FUEGO,50223,49.93
2021,3,TUCUMAN,232472,232.45
2021,2,BUENOS AIRES,4132351,4127.17
2021,2,CAPITAL FEDERAL,1400355,1398.75
2021,2,CATAMARCA,55744,55.74
2021,2,CHACO,140729,140.73
2021,2,CHUBUT,139237,138.41
2021,2,CORDOBA,930880,930.82
2021,2,CORRIENTES,129501,129.5
2021,2,ENTRE RIOS,257632,257.62
2021,2,FORMOSA,51551,51.55
2021,2,JUJUY,111848,111.85
2021,2,LA PAMPA,97667,97.55
2021,2,LA RIOJA,81602,81.6
2021,2,MENDOZA,229671,229.05
2021,2,MISIONES,156176,156.18
2021,2,NEUQUEN,138250,137.88
2021,2,RIO NEGRO,144084,143.58
2021,2,SALTA,191639,191.64
2021,2,SAN JUAN,78933,78.68
2021,2,SAN LUIS,122818,122.67
2021,2,SANTA CRUZ,48982,48.78
2021,2,SANTA FE,840600,840.45
2021,2,SANTIAGO DEL ESTERO,114090,114.09
2021,2,TIERRA DEL FUEGO,35693,35.4
2021,2,TUCUMAN,233051,233.03
2021,1,BUENOS AIRES,4060002,4054.94
2021,1,CAPITAL FEDERAL,1379673,1378.28
2021,1,CATAMARCA,51968,51.97
2021,1,CHACO,139770,139.77
2021,1,CHUBUT,132340,131.51
2021,1,CORDOBA,910881,910.83
2021,1,CORRIENTES,126625,126.62
2021,1,ENTRE RIOS,251963,251.95
2021,1,FORMOSA,50686,50.69
2021,1,JUJUY,110456,110.46
2021,1,LA PAMPA,97105,96.99
2021,1,LA RIOJA,52628,52.62
2021,1,MENDOZA,218923,218.31
2021,1,MISIONES,149387,149.39
2021,1,NEUQUEN,133235,132.86
2021,1,RIO NEGRO,141168,140.67
2021,1,SALTA,187574,187.57
2021,1,SAN JUAN,78267,78.01
2021,1,SAN LUIS,119154,119.01
2021,1,SANTA CRUZ,46065,45.87
2021,1,SANTA FE,826127,825.99
2021,1,SANTIAGO DEL ESTERO,111641,111.64
2021,1,TIERRA DEL FUEGO,40422,40.13
2021,1,TUCUMAN,231912,231.89
2020,4,BUENOS AIRES,4033261,4028.2
2020,4,CAPITAL FEDERAL,1379530,1378.14
2020,4,CATAMARCA,52396,52.4
2020,4,CHACO,139091,139.09
2020,4,CHUBUT,130574,129.75
2020,4,CORDOBA,902701,902.65
2020,4,CORRIENTES,125659,125.66
2020,4,ENTRE RIOS,247381,247.37
2020,4,FORMOSA,50206,50.21
2020,4,JUJUY,105851,105.85
2020,4,LA PAMPA,96895,96.78
2020,4,LA RIOJA,52778,52.78
2020,4,MENDOZA,215453,214.84
2020,4,MISIONES,147161,147.16
2020,4,NEUQUEN,133135,132.76
2020,4,RIO NEGRO,141210,140.71
2020,4,SALTA,187390,187.39
2020,4,SAN JUAN,72596,72.34
2020,4,SAN LUIS,119435,119.29
2020,4,SANTA CRUZ,40674,40.48
2020,4,SANTA FE,820813,820.68
2020,4,SANTIAGO DEL ESTERO,106669,106.67
2020,4,TIERRA DEL FUEGO,39614,39.33
2020,4,TUCUMAN,231089,231.07
2020,3,BUENOS AIRES,3937277,3932.21
2020,3,CAPITAL FEDERAL,1372675,1371.28
2020,3,CATAMARCA,49904,49.9
2020,3,CHACO,133954,133.95
2020,3,CHUBUT,130027,129.2
2020,3,CORDOBA,867472,867.42
2020,3,CORRIENTES,123391,123.39
2020,3,ENTRE RIOS,241495,241.48
2020,3,FORMOSA,49209,49.21
2020,3,JUJUY,106728,106.73
2020,3,LA PAMPA,93735,93.62
2020,3,LA RIOJA,52616,52.61
2020,3,MENDOZA,207788,207.17
2020,3,MISIONES,143186,143.19
2020,3,NEUQUEN,129235,128.86
2020,3,RIO NEGRO,131467,130.97
2020,3,SALTA,180846,180.84
2020,3,SAN JUAN,77327,77.07
2020,3,SAN LUIS,116565,116.42
2020,3,SANTA CRUZ,39281,39.08
2020,3,SANTA FE,802998,802.86
2020,3,SANTIAGO DEL ESTERO,105492,105.49
2020,3,TIERRA DEL FUEGO,39655,39.37
2020,3,TUCUMAN,223876,223.85
2020,2,BUENOS AIRES,3777546,3772.48
2020,2,CAPITAL FEDERAL,1357821,1356.43
2020,2,CATAMARCA,47976,47.98
2020,2,CHACO,128132,128.13
2020,2,CHUBUT,108656,107.83
2020,2,CORDOBA,836468,836.41
2020,2,CORRIENTES,118866,118.86
2020,2,ENTRE RIOS,234113,234.1
2020,2,FORMOSA,47932,47.93
2020,2,JUJUY,94316,94.32
2020,2,LA PAMPA,89809,89.69
2020,2,LA RIOJA,52155,52.15
2020,2,MENDOZA,201184,200.57
2020,2,MISIONES,140340,140.34
2020,2,NEUQUEN,126172,125.8
2020,2,RIO NEGRO,129486,128.99
2020,2,SALTA,177762,177.76
2020,2,SAN JUAN,69777,69.52
2020,2,SAN LUIS,113952,113.8
2020,2,SANTA CRUZ,38869,38.67
2020,2,SANTA FE,777932,777.8
2020,2,SANTIAGO DEL ESTERO,105447,105.45
2020,2,TIERRA DEL FUEGO,39189,38.9
2020,2,TUCUMAN,217156,217.13
2020,1,BUENOS AIRES,3708051,3702.98
2020,1,CAPITAL FEDERAL,1353494,1352.1
2020,1,CATAMARCA,39635,39.63
2020,1,CHACO,120277,120.27
2020,1,CHUBUT,96738,95.94
2020,1,CORDOBA,811099,811.04
2020,1,CORRIENTES,113970,113.97
2020,1,ENTRE RIOS,231846,231.83
2020,1,FORMOSA,46434,46.43
2020,1,JUJUY,91665,91.66
2020,1,LA PAMPA,89226,89.11
2020,1,LA RIOJA,48340,48.34
2020,1,MENDOZA,183452,182.84
2020,1,MISIONES,133552,133.55
2020,1,NEUQUEN,121727,121.35
2020,1,RIO NEGRO,126200,125.7
2020,1,SALTA,170381,170.38
2020,1,SAN JUAN,64231,63.98
2020,1,SAN LUIS,110552,110.4
2020,1,SANTA CRUZ,38822,38.62
2020,1,SANTA FE,771118,770.98
2020,1,SANTIAGO DEL ESTERO,102755,102.75
2020,1,TIERRA DEL FUEGO,38794,38.51
2020,1,TUCUMAN,200067,200.04
2019,4,BUENOS AIRES,3686254,3681.12
2019,4,CAPITAL FEDERAL,1358105,1356.7
2019,4,CATAMARCA,38311,38.31
2019,4,CHACO,117903,117.9
2019,4,CHUBUT,96102,95.29
2019,4,CORDOBA,806688,806.63
2019,4,CORRIENTES,113834,113.83
2019,4,ENTRE RIOS,239030,239.02
2019,4,FORMOSA,46711,46.71
2019,4,JUJUY,88881,88.88
2019,4,LA PAMPA,90399,90.28
2019,4,LA RIOJA,49002,49.0
2019,4,MENDOZA,185780,185.16
2019,4,MISIONES,135813,135.81
2019,4,NEUQUEN,116445,116.07
2019,4,RIO NEGRO,127140,126.64
2019,4,SALTA,172445,172.44
2019,4,SAN JUAN,64974,64.72
2019,4,SAN LUIS,108201,108.05
2019,4,SANTA CRUZ,39370,39.17
2019,4,SANTA FE,769169,769.02
2019,4,SANTIAGO DEL ESTERO,103588,103.59
2019,4,TIERRA DEL FUEGO,40392,40.1
2019,4,TUCUMAN,198644,198.62
2019,3,BUENOS AIRES,3960233,3950.11
2019,3,CAPITAL FEDERAL,1441211,1437.73
2019,3,CATAMARCA,32400,32.39
2019,3,CHACO,114451,114.44
2019,3,CHUBUT,89005,87.48
2019,3,CORDOBA,783053,782.95
2019,3,CORRIENTES,112759,112.75
2019,3,ENTRE RIOS,238102,238.06
2019,3,FORMOSA,46066,46.07
2019,3,JUJUY,86576,86.58
2019,3,LA PAMPA,90828,90.56
2019,3,LA RIOJA,49677,49.66
2019,3,MENDOZA,224337,223.02
2019,3,MISIONES,133883,133.88
2019,3,NEUQUEN,125421,123.44
2019,3,RIO NEGRO,144295,143.39
2019,3,SALTA,151835,151.83
2019,3,SAN JUAN,73098,72.54
2019,3,SAN LUIS,122700,122.41
2019,3,SANTA CRUZ,37970,37.64
2019,3,SANTA FE,760934,760.71
2019,3,SANTIAGO DEL ESTERO,133132,133.13
2019,3,TIERRA DEL FUEGO,48587,48.04
2019,3,TUCUMAN,164131,164.1
2019,2,BUENOS AIRES,3855698,3845.59
2019,2,CAPITAL FEDERAL,1415620,1412.18
2019,2,CATAMARCA,33635,33.63
2019,2,CHACO,108734,108.72
2019,2,CHUBUT,87556,86.04
2019,2,CORDOBA,775128,775.02
2019,2,CORRIENTES,111549,111.54
2019,2,ENTRE RIOS,235824,235.78
2019,2,FORMOSA,46438,46.44
2019,2,JUJUY,86707,86.71
2019,2,LA PAMPA,90205,89.94
2019,2,LA RIOJA,50301,50.28
2019,2,MENDOZA,223857,222.54
2019,2,MISIONES,132878,132.88
2019,2,NEUQUEN,122953,120.95
2019,2,RIO NEGRO,138547,137.63
2019,2,SALTA,142568,142.57
2019,2,SAN JUAN,70025,69.46
2019,2,SAN LUIS,117385,117.09
