Año,Trimestre,Provincia,Mbps (Media de bajada)
2022,4,RIO NEGRO,75.31
2022,4,SALTA,75.93
2022,4,SAN JUAN,16.39
2022,4,SAN LUIS,30.67
2022,4,SANTA CRUZ,14.33
2022,4,SANTA FE,90.3
2022,4,SANTIAGO DEL ESTERO,34.4
2022,4,TIERRA DEL FUEGO,13.48
2022,4,TUCUMAN,88.33
2022,3,BUENOS AIRES,70.19
2022,3,CAPITAL FEDERAL,101.05
2022,3,CATAMARCA,60.99
2022,3,CHACO,53.21
2022,3,CHUBUT,15.57
2022,3,CORDOBA,56.32
2022,3,CORRIENTES,45.07
2022,3,ENTRE RIOS,42.49
2022,3,FORMOSA,30.35
2022,3,JUJUY,32.43
2022,3,LA PAMPA,18.1
2022,3,LA RIOJA,44.3
2022,3,MENDOZA,34.16
2022,3,MISIONES,49.3
2022,3,NEUQUEN,47.81
2022,3,RIO NEGRO,34.13
2022,3,SALTA,41.33
2022,3,SAN JUAN,15.84
2022,3,SAN LUIS,19.33
2022,3,SANTA CRUZ,12.6
2022,3,SANTA FE,45.15
2022,3,SANTIAGO DEL ESTERO,17.69
2022,3,TIERRA DEL FUEGO,11.01
2022,3,TUCUMAN,53.36
2022,2,BUENOS AIRES,65.5
2022,2,CAPITAL FEDERAL,93.97
2022,2,CATAMARCA,56.56
2022,2,CHACO,50.61
2022,2,CHUBUT,14.91
2022,2,CORDOBA,53.51
2022,2,CORRIENTES,43.31
2022,2,ENTRE RIOS,40.03
2022,2,FORMOSA,28.47
2022,2,JUJUY,29.39
2022,2,LA PAMPA,16.07
2022,2,LA RIOJA,43.28
2022,2,MENDOZA,29.72
2022,2,MISIONES,46.23
2022,2,NEUQUEN,46.53
2022,2,RIO NEGRO,33.26
2022,2,SALTA,38.77
2022,2,SAN JUAN,14.44
2022,2,SAN LUIS,19.32
2022,2,SANTA CRUZ,11.81
2022,2,SANTA FE,42.01
2022,2,SANTIAGO DEL ESTERO,16.34
2022,2,TIERRA DEL FUEGO,10.97
2022,2,TUCUMAN,50.09
2022,1,BUENOS AIRES,62.51
2022,1,CAPITAL FEDERAL,88.22
2022,1,CATAMARCA,51.22
2022,1,CHACO,45.84
2022,1,CHUBUT,13.4
2022,1,CORDOBA,49.89
2022,1,CORRIENTES,38.11
2022,1,ENTRE RIOS,35.59
2022,1,FORMOSA,30.28
2022,1,JUJUY,27.69
2022,1,LA PAMPA,14.84
2022,1,LA RIOJA,41.37
2022,1,MENDOZA,26.2
2022,1,MISIONES,41.87
2022,1,NEUQUEN,43.05
2022,1,RIO NEGRO,31.09
2022,1,SALTA,36.71
2022,1,SAN JUAN,11.99
2022,1,SAN LUIS,20.95
2022,1,SANTA CRUZ,10.89
2022,1,SANTA FE,38.89
2022,1,SANTIAGO DEL ESTERO,14.5
2022,1,TIERRA DEL FUEGO,10.73
2022,1,TUCUMAN,47.24
2021,4,BUENOS AIRES,60.21
2021,4,CAPITAL FEDERAL,82.95
2021,4,CATAMARCA,46.38
2021,4,CHACO,42.34
2021,4,CHUBUT,9.08
2021,4,CORDOBA,46.36
2021,4,CORRIENTES,35.77
2021,4,ENTRE RIOS,33.32
2021,4,FORMOSA,28.76
2021,4,JUJUY,27.14
2021,4,LA PAMPA,13.85
2021,4,LA RIOJA,39.7
2021,4,MENDOZA,22.23
2021,4,MISIONES,38.9
2021,4,NEUQUEN,40.09
2021,4,RIO NEGRO,27.2
2021,4,SALTA,33.94
2021,4,SAN JUAN,11.05
2021,4,SAN LUIS,20.91
2021,4,SANTA CRUZ,8.99
2021,4,SANTA FE,36.02
2021,4,SANTIAGO DEL ESTERO,13.84
2021,4,TIERRA DEL FUEGO,10.7
2021,4,TUCUMAN,45.15
2021,3,BUENOS AIRES,56.26
2021,3,CAPITAL FEDERAL,77.71
2021,3,CATAMARCA,43.43
2021,3,CHACO,39.11
2021,3,CHUBUT,8.18
2021,3,CORDOBA,41.93
2021,3,CORRIENTES,32.17
2021,3,ENTRE RIOS,29.6
2021,3,FORMOSA,26.69
2021,3,JUJUY,25.98
2021,3,LA PAMPA,12.99
2021,3,LA RIOJA,38.87
2021,3,MENDOZA,13.37
2021,3,MISIONES,30.88
2021,3,NEUQUEN,38.34
2021,3,RIO NEGRO,25.4
2021,3,SALTA,31.21
2021,3,SAN JUAN,7.04
2021,3,SAN LUIS,21.7
2021,3,SANTA CRUZ,7.69
2021,3,SANTA FE,33.13
2021,3,SANTIAGO DEL ESTERO,13.35
2021,3,TIERRA DEL FUEGO,9.52
2021,3,TUCUMAN,42.1
2021,2,BUENOS AIRES,52.76
2021,2,CAPITAL FEDERAL,72.75
2021,2,CATAMARCA,42.19
2021,2,CHACO,37.4
2021,2,CHUBUT,7.68
2021,2,CORDOBA,39.59
2021,2,CORRIENTES,30.37
2021,2,ENTRE RIOS,27.62
2021,2,FORMOSA,23.97
2021,2,JUJUY,25.81
2021,2,LA PAMPA,12.28
2021,2,LA RIOJA,38.53
2021,2,MENDOZA,13.47
2021,2,MISIONES,28.68
2021,2,NEUQUEN,36.11
2021,2,RIO NEGRO,23.75
2021,2,SALTA,29.24
2021,2,SAN JUAN,6.99
2021,2,SAN LUIS,21.66
2021,2,SANTA CRUZ,7.63
2021,2,SANTA FE,30.7
2021,2,SANTIAGO DEL ESTERO,12.72
2021,2,TIERRA DEL FUEGO,8.59
2021,2,TUCUMAN,40.31
2021,1,BUENOS AIRES,50.79
2021,1,CAPITAL FEDERAL,68.29
2021,1,CATAMARCA,39.97
2021,1,CHACO,33.63
2021,1,CHUBUT,7.53
2021,1,CORDOBA,36.17
2021,1,CORRIENTES,25.99
2021,1,ENTRE RIOS,23.87
2021,1,FORMOSA,20.98
2021,1,JUJUY,26.78
2021,1,LA PAMPA,10.73
2021,1,LA RIOJA,12.7
2021,1,MENDOZA,12.6
2021,1,MISIONES,25.08
2021,1,NEUQUEN,34.24
2021,1,RIO NEGRO,21.92
2021,1,SALTA,27.32
2021,1,SAN JUAN,6.91
2021,1,SAN LUIS,21.59
2021,1,SANTA CRUZ,7.5
2021,1,SANTA FE,28.13
2021,1,SANTIAGO DEL ESTERO,11.58
2021,1,TIERRA DEL FUEGO,8.73
2021,1,TUCUMAN,37.98
2020,4,BUENOS AIRES,50.01
2020,4,CAPITAL FEDERAL,67.33
2020,4,CATAMARCA,37.65
2020,4,CHACO,32.45
2020,4,CHUBUT,7.38
2020,4,CORDOBA,35.12
2020,4,CORRIENTES,25.45
2020,4,ENTRE RIOS,24.05
2020,4,FORMOSA,19.7
2020,4,JUJUY,25.21
2020,4,LA PAMPA,9.88
2020,4,LA RIOJA,12.53
2020,4,MENDOZA,11.09
2020,4,MISIONES,24.96
2020,4,NEUQUEN,33.91
2020,4,RIO NEGRO,21.64
2020,4,SALTA,25.32
2020,4,SAN JUAN,6.41
2020,4,SAN LUIS,21.25
2020,4,SANTA CRUZ,7.49
2020,4,SANTA FE,27.29
2020,4,SANTIAGO DEL ESTERO,11.28
2020,4,TIERRA DEL FUEGO,8.49
2020,4,TUCUMAN,36.44
2020,3,BUENOS AIRES,48.38
2020,3,CAPITAL FEDERAL,63.81
2020,3,CATAMARCA,36.54
2020,3,CHACO,30.8
2020,3,CHUBUT,7.4
2020,3,CORDOBA,33.51
2020,3,CORRIENTES,23.85
2020,3,ENTRE RIOS,22.43
2020,3,FORMOSA,18.28
2020,3,JUJUY,21.91
2020,3,LA PAMPA,10.7
2020,3,LA RIOJA,12.19
2020,3,MENDOZA,10.19
2020,3,MISIONES,24.14
2020,3,NEUQUEN,31.46
2020,3,RIO NEGRO,21.08
2020,3,SALTA,25.26
2020,3,SAN JUAN,6.03
2020,3,SAN LUIS,20.85
2020,3,SANTA CRUZ,6.65
2020,3,SANTA FE,25.69
2020,3,SANTIAGO DEL ESTERO,10.88
2020,3,TIERRA DEL FUEGO,8.51
2020,3,TUCUMAN,34.84
2020,2,BUENOS AIRES,45.66
2020,2,CAPITAL FEDERAL,60.48
2020,2,CATAMARCA,34.93
2020,2,CHACO,27.95
2020,2,CHUBUT,7.61
2020,2,CORDOBA,30.99
2020,2,CORRIENTES,22.15
2020,2,ENTRE RIOS,20.45
2020,2,FORMOSA,16.87
2020,2,JUJUY,15.86
2020,2,LA PAMPA,8.03
2020,2,LA RIOJA,11.67
2020,2,MENDOZA,9.27
2020,2,MISIONES,22.56
2020,2,NEUQUEN,29.1
2020,2,RIO NEGRO,19.68
