Año,Trimestre,Provincia,Accesos por cada 100 hogares
2022,4,RIO NEGRO,68.42
2022,4,SALTA,57.96
2022,4,SAN JUAN,50.88
2022,4,SAN LUIS,90.27
2022,4,SANTA CRUZ,43.53
2022,4,SANTA FE,78.4
2022,4,SANTIAGO DEL ESTERO,48.05
2022,4,TIERRA DEL FUEGO,101.44
2022,4,TUCUMAN,61.04
2022,3,BUENOS AIRES,78.11
2022,3,CAPITAL FEDERAL,122.28
2022,3,CATAMARCA,65.33
2022,3,CHACO,43.86
2022,3,CHUBUT,84.38
2022,3,CORDOBA,88.31
2022,3,CORRIENTES,48.21
2022,3,ENTRE RIOS,63.67
2022,3,FORMOSA,43.76
2022,3,JUJUY,58.91
2022,3,LA PAMPA,96.59
2022,3,LA RIOJA,80.66
2022,3,MENDOZA,51.03
2022,3,MISIONES,51.82
2022,3,NEUQUEN,80.37
2022,3,RIO NEGRO,67.98
2022,3,SALTA,57.76
2022,3,SAN JUAN,50.8
2022,3,SAN LUIS,81.74
2022,3,SANTA CRUZ,43.19
2022,3,SANTA FE,78.55
2022,3,SANTIAGO DEL ESTERO,47.98
2022,3,TIERRA DEL FUEGO,99.51
2022,3,TUCUMAN,61.14
2022,2,BUENOS AIRES,77.58
2022,2,CAPITAL FEDERAL,121.31
2022,2,CATAMARCA,62.4
2022,2,CHACO,43.79
2022,2,CHUBUT,83.19
2022,2,CORDOBA,87.48
2022,2,CORRIENTES,48.35
2022,2,ENTRE RIOS,63.9
2022,2,FORMOSA,43.42
2022,2,JUJUY,57.32
2022,2,LA PAMPA,92.98
2022,2,LA RIOJA,80.14
2022,2,MENDOZA,49.39
2022,2,MISIONES,51.0
2022,2,NEUQUEN,80.02
2022,2,RIO NEGRO,67.85
2022,2,SALTA,57.54
2022,2,SAN JUAN,49.46
2022,2,SAN LUIS,81.76
2022,2,SANTA CRUZ,43.15
2022,2,SANTA FE,77.9
2022,2,SANTIAGO DEL ESTERO,47.7
2022,2,TIERRA DEL FUEGO,99.86
2022,2,TUCUMAN,59.31
2022,1,BUENOS AIRES,76.0781466115726
2022,1,CAPITAL FEDERAL,111.797862691747
2022,1,CATAMARCA,58.2063508356117
2022,1,CHACO,44.0594800994188
2022,1,CHUBUT,88.0527409383577
2022,1,CORDOBA,85.7574535631355
2022,1,CORRIENTES,47.6446351415023
2022,1,ENTRE RIOS,63.7009034712316
2022,1,FORMOSA,34.9556869957513
2022,1,JUJUY,58.0646286642678
2022,1,LA PAMPA,91.6633253140871
2022,1,LA RIOJA,78.774598665645
2022,1,MENDOZA,48.7352409355834
2022,1,MISIONES,49.0433419977295
2022,1,NEUQUEN,74.1730550999272
2022,1,RIO NEGRO,67.0364075498703
2022,1,SALTA,56.1075934084976
2022,1,SAN JUAN,43.5459816093316
2022,1,SAN LUIS,80.7242306060177
2022,1,SANTA CRUZ,43.3384231105305
2022,1,SANTA FE,77.304584747584
2022,1,SANTIAGO DEL ESTERO,47.1727383932405
2022,1,TIERRA DEL FUEGO,98.2905503867279
2022,1,TUCUMAN,57.3900322723119
2021,4,BUENOS AIRES,75.6641060233847
2021,4,CAPITAL FEDERAL,111.270026128917
2021,4,CATAMARCA,55.2526999859741
2021,4,CHACO,44.0485638902593
2021,4,CHUBUT,82.5734006387143
2021,4,CORDOBA,84.5094185304609
2021,4,CORRIENTES,45.5101610294635
2021,4,ENTRE RIOS,63.1553614361658
2021,4,FORMOSA,34.4545746388443
2021,4,JUJUY,56.9210705148705
2021,4,LA PAMPA,89.5673427024131
2021,4,LA RIOJA,77.9234900964576
2021,4,MENDOZA,47.5053170903177
2021,4,MISIONES,49.064620730585
2021,4,NEUQUEN,73.3001625402001
2021,4,RIO NEGRO,65.6948996116065
2021,4,SALTA,56.8144260576222
2021,4,SAN JUAN,39.5888518648717
2021,4,SAN LUIS,80.2957828313538
2021,4,SANTA CRUZ,43.0512146611735
2021,4,SANTA FE,77.0892017943923
