Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2022,2,RIO NEGRO,67359,60348,5685,259,1067
2022,2,SALTA,86362,77373,7289,332,1368
2022,2,SAN JUAN,52803,47306,4457,203,837
2022,2,SAN LUIS,27706,24822,2338,107,439
2022,2,SANTA CRUZ,22986,20594,1940,88,364
2022,2,SANTA FE,490492,439437,41397,1886,7772
2022,2,SANTIAGO DEL ESTERO,64909,58153,5478,250,1028
2022,2,TIERRA DEL FUEGO,14833,13289,1252,57,235
2022,2,TUCUMAN,162823,145875,13742,626,2580
2022,1,BUENOS AIRES,3062075,2735498,266125,11364,49088
2022,1,CAPITAL FEDERAL,1432318,1279557,124483,5316,22962
2022,1,CATAMARCA,30156,26940,2621,112,483
2022,1,CHACO,84821,75774,7372,315,1360
2022,1,CHUBUT,61117,54598,5312,227,980
2022,1,CORDOBA,578691,516972,50294,2148,9277
2022,1,CORRIENTES,88933,79448,7729,330,1426
2022,1,ENTRE RIOS,189614,169391,16479,704,3040
2022,1,FORMOSA,33824,30216,2940,126,542
2022,1,JUJUY,48682,43490,4231,181,780
2022,1,LA PAMPA,68620,61301,5964,255,1100
2022,1,LA RIOJA,27488,24556,2389,102,441
2022,1,MENDOZA,163637,146185,14222,607,2623
2022,1,MISIONES,91333,81592,7938,339,1464
2022,1,NEUQUEN,65843,58821,5722,244,1056
2022,1,RIO NEGRO,71369,63757,6203,265,1144
2022,1,SALTA,109054,97423,9478,405,1748
2022,1,SAN JUAN,62767,56073,5455,233,1006
2022,1,SAN LUIS,30071,26864,2613,112,482
2022,1,SANTA CRUZ,23766,21232,2065,88,381
2022,1,SANTA FE,628606,561564,54632,2333,10077
2022,1,SANTIAGO DEL ESTERO,67503,60303,5867,251,1082
2022,1,TIERRA DEL FUEGO,17966,16050,1561,67,288
2022,1,TUCUMAN,184951,165226,16074,686,2965
2021,4,BUENOS AIRES,3313370,3012453,234051,14886,51980
2021,4,CAPITAL FEDERAL,1439097,1308400,101656,6465,22576
2021,4,CATAMARCA,29635,26944,2093,133,465
