Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2014,1,CATAMARCA,39318,32476,4382,127,2333
2014,1,CHACO,102435,84607,11418,331,6079
2014,1,CHUBUT,97607,80618,10880,316,5793
2014,1,CORDOBA,741515,612460,82651,2397,44007
2014,1,CORRIENTES,102607,84748,11437,332,6090
2014,1,ENTRE RIOS,223508,184607,24913,723,13265
2014,1,FORMOSA,42201,34856,4704,136,2505
2014,1,JUJUY,55953,46214,6237,181,3321
2014,1,LA PAMPA,72038,59500,8030,233,4275
2014,1,LA RIOJA,39625,32728,4417,128,2352
2014,1,MENDOZA,320413,264647,35714,1036,19016
2014,1,MISIONES,111018,91696,12374,359,6589
2014,1,NEUQUEN,92732,76593,10336,300,5503
2014,1,RIO NEGRO,121289,100180,13519,392,7198
2014,1,SALTA,140841,116328,15699,455,8359
2014,1,SAN JUAN,92461,76369,10306,299,5487
2014,1,SAN LUIS,51097,42205,5695,165,3032
2014,1,SANTA CRUZ,40625,33555,4528,131,2411
2014,1,SANTA FE,770361,636284,85867,2491,45719
2014,1,SANTIAGO DEL ESTERO,70717,58409,7882,229,4197
2014,1,TIERRA DEL FUEGO,32631,26951,3637,106,1937
2014,1,TUCUMAN,210917,174209,23509,682,12517
